medium	description	compound	name
M9	M9 minimal medium	fe3	Fe3+
M9	M9 minimal medium	glc__D	D-Glucose
M9	M9 minimal medium	h2o	H2O
M9	M9 minimal medium	h	H+
M9	M9 minimal medium	k	K+
M9	M9 minimal medium	mg2	Mg
M9	M9 minimal medium	mn2	Mn2+
M9	M9 minimal medium	mobd	Molybdate
M9	M9 minimal medium	na1	Na+
M9	M9 minimal medium	nh4	Ammonium
M9	M9 minimal medium	ni2	Ni2+
M9	M9 minimal medium	o2	O2
M9	M9 minimal medium	pi	Phosphate
M9	M9 minimal medium	so4	Sulfate
M9	M9 minimal medium	zn2	Zn2+
M9[-O2]	M9 minimal medium (anaerobic)	ca2	Ca2+
M9[-O2]	M9 minimal medium (anaerobic)	cl	Cl-
M9[-O2]	M9 minimal medium (anaerobic)	cobalt2	Co2+
M9[-O2]	M9 minimal medium (anaerobic)	cu2	Cu2+
M9[-O2]	M9 minimal medium (anaerobic)	fe2	Fe2+
M9[-O2]	M9 minimal medium (anaerobic)	fe3	Fe3+
M9[-O2]	M9 minimal medium (anaerobic)	glc__D	D-Glucose
M9[-O2]	M9 minimal medium (anaerobic)	h2o	H2O
M9[-O2]	M9 minimal medium (anaerobic)	h	H+
M9[-O2]	M9 minimal medium (anaerobic)	k	K+
M9[-O2]	M9 minimal medium (anaerobic)	mg2	Mg
M9[-O2]	M9 minimal medium (anaerobic)	mn2	Mn2+
M9[-O2]	M9 minimal medium (anaerobic)	mobd	Molybdate
M9[-O2]	M9 minimal medium (anaerobic)	na1	Na+
M9[-O2]	M9 minimal medium (anaerobic)	nh4	Ammonium
M9[-O2]	M9 minimal medium (anaerobic)	ni2	Ni2+
M9[-O2]	M9 minimal medium (anaerobic)	pi	Phosphate
M9[-O2]	M9 minimal medium (anaerobic)	so4	Sulfate
M9[-O2]	M9 minimal medium (anaerobic)	zn2	Zn2+
M9[glyc]	M9 minimal medium (glycerol)	ca2	Ca2+
M9[glyc]	M9 minimal medium (glycerol)	cl	Cl-
M9[glyc]	M9 minimal medium (glycerol)	cobalt2	Co2+
M9[glyc]	M9 minimal medium (glycerol)	cu2	Cu2+
M9[glyc]	M9 minimal medium (glycerol)	fe2	Fe2+
M9[glyc]	M9 minimal medium (glycerol)	fe3	Fe3+
M9[glyc]	M9 minimal medium (glycerol)	glyc	Glycerol
M9[glyc]	M9 minimal medium (glycerol)	h2o	H2O
M9[glyc]	M9 minimal medium (glycerol)	h	H+
M9[glyc]	M9 minimal medium (glycerol)	k	K+
M9[glyc]	M9 minimal medium (glycerol)	mg2	Mg
M9[glyc]	M9 minimal medium (glycerol)	mn2	Mn2+
M9[glyc]	M9 minimal medium (glycerol)	mobd	Molybdate
M9[glyc]	M9 minimal medium (glycerol)	na1	Na+
M9[glyc]	M9 minimal medium (glycerol)	nh4	Ammonium
M9[glyc]	M9 minimal medium (glycerol)	ni2	Ni2+
M9[glyc]	M9 minimal medium (glycerol)	o2	O2
M9[glyc]	M9 minimal medium (glycerol)	pi	Phosphate
M9[glyc]	M9 minimal medium (glycerol)	so4	Sulfate
M9[glyc]	M9 minimal medium (glycerol)	zn2	Zn2+
PHOTO	photosynthetic minimal medium	ca2	Ca2+
PHOTO	photosynthetic minimal medium	cl	Cl-
PHOTO	photosynthetic minimal medium	cobalt2	Co2+
PHOTO	photosynthetic minimal medium	cu2	Cu2+
PHOTO	photosynthetic minimal medium	fe2	Fe2+
PHOTO	photosynthetic minimal medium	fe3	Fe3+
PHOTO	photosynthetic minimal medium	h2o	H2O
PHOTO	photosynthetic minimal medium	k	K+
PHOTO	photosynthetic minimal medium	mg2	Mg
PHOTO	photosynthetic minimal medium	mn2	Mn2+
PHOTO	photosynthetic minimal medium	mobd	Molybdate
PHOTO	photosynthetic minimal medium	na1	Na+
PHOTO	photosynthetic minimal medium	nh4	Ammonium
PHOTO	photosynthetic minimal medium	ni2	Ni2+
PHOTO	photosynthetic minimal medium	pi	Phosphate
PHOTO	photosynthetic minimal medium	so4	Sulfate
PHOTO	photosynthetic minimal medium	zn2	Zn2+
PHOTO	photosynthetic minimal medium	co2	CO2
PHOTO	photosynthetic minimal medium	photon	light
WesternDiet	AGORA Western Diet	fru	D-Fructose
WesternDiet	AGORA Western Diet	glc__D	D-Glucose
WesternDiet	AGORA Western Diet	gal	D-Galactose
WesternDiet	AGORA Western Diet	man	D-Mannose
WesternDiet	AGORA Western Diet	mnl	D-Mannitol
WesternDiet	AGORA Western Diet	fuc__L	L-Fucose
WesternDiet	AGORA Western Diet	glcn	D-Gluconate
WesternDiet	AGORA Western Diet	rmn	L-Rhamnose
WesternDiet	AGORA Western Diet	arab__L	L-Arabinose
WesternDiet	AGORA Western Diet	drib	2-Deoxyribose
WesternDiet	AGORA Western Diet	rib__D	D-Ribose
WesternDiet	AGORA Western Diet	xyl__D	D-Xylose
WesternDiet	AGORA Western Diet	oxa	Oxalate
WesternDiet	AGORA Western Diet	lcts	Lactose
WesternDiet	AGORA Western Diet	malt	Maltose
WesternDiet	AGORA Western Diet	sucr	Sucrose
WesternDiet	AGORA Western Diet	melib	Melibiose
WesternDiet	AGORA Western Diet	cellb	Cellobiose
WesternDiet	AGORA Western Diet	tre	Trehalose
WesternDiet	AGORA Western Diet	strch1	Starch
WesternDiet	AGORA Western Diet	amylopect900	Amylopectin
WesternDiet	AGORA Western Diet	amylose300	Amylose
WesternDiet	AGORA Western Diet	arabinan101	Arabinan
WesternDiet	AGORA Western Diet	arabinogal	Arabinogalactan
WesternDiet	AGORA Western Diet	arabinoxyl	Arabinoxylan
WesternDiet	AGORA Western Diet	bglc	beta-Glucan
WesternDiet	AGORA Western Diet	cellul	Cellulose
WesternDiet	AGORA Western Diet	dextran40	Dextran
WesternDiet	AGORA Western Diet	galmannan	Galactomannan
WesternDiet	AGORA Western Diet	glcmannan	Glucomannan
WesternDiet	AGORA Western Diet	homogal	Homogalacturonan
WesternDiet	AGORA Western Diet	inulin	Inulin
WesternDiet	AGORA Western Diet	kestopt	Kestose
WesternDiet	AGORA Western Diet	levan1000	Levan
WesternDiet	AGORA Western Diet	lmn30	Laminarin
WesternDiet	AGORA Western Diet	lichn	Lichenan
WesternDiet	AGORA Western Diet	pect	Pectin
WesternDiet	AGORA Western Diet	pullulan1200	Pullulan
WesternDiet	AGORA Western Diet	raffin	Raffinose
WesternDiet	AGORA Western Diet	rhamnogalurI	Rhamnogalacturonan I
WesternDiet	AGORA Western Diet	rhamnogalurII	Rhamnogalacturonan II
WesternDiet	AGORA Western Diet	starch1200	Starch 1200
WesternDiet	AGORA Western Diet	xylan	Xylan
WesternDiet	AGORA Western Diet	xyluglc	Xyloglucan
WesternDiet	AGORA Western Diet	arachd	Arachidonic acid
WesternDiet	AGORA Western Diet	chsterol	Cholesterol
WesternDiet	AGORA Western Diet	glyc	Glycerol
WesternDiet	AGORA Western Diet	hdca	Hexadecanoic acid
WesternDiet	AGORA Western Diet	hdcea	Hexadecenoic acid
WesternDiet	AGORA Western Diet	lnlc	Linoleic acid
WesternDiet	AGORA Western Diet	lnlnca	alpha-Linolenic acid
WesternDiet	AGORA Western Diet	lnlncg	gamma-Linolenic acid
WesternDiet	AGORA Western Diet	ocdca	Octadecanoic acid
WesternDiet	AGORA Western Diet	ocdcea	Oleic acid
WesternDiet	AGORA Western Diet	octa	Octanoic acid
WesternDiet	AGORA Western Diet	ttdca	Tetradecanoic acid
WesternDiet	AGORA Western Diet	ala__L	L-Alanine
WesternDiet	AGORA Western Diet	ser__L	L-Serine
WesternDiet	AGORA Western Diet	cys__L	L-Cysteine
WesternDiet	AGORA Western Diet	arg__L	L-Arginine
WesternDiet	AGORA Western Diet	ile__L	L-Isoleucine
WesternDiet	AGORA Western Diet	leu__L	L-Leucine
WesternDiet	AGORA Western Diet	lys__L	L-Lysine
WesternDiet	AGORA Western Diet	his__L	L-Histidine
WesternDiet	AGORA Western Diet	asn__L	L-Asparagine
WesternDiet	AGORA Western Diet	thr__L	L-Threonine
WesternDiet	AGORA Western Diet	asp__L	L-Aspartate
WesternDiet	AGORA Western Diet	glu__L	L-Glutamate
WesternDiet	AGORA Western Diet	met__L	L-Methionine
WesternDiet	AGORA Western Diet	gln__L	L-Glutamine
WesternDiet	AGORA Western Diet	pro__L	L-Proline
WesternDiet	AGORA Western Diet	val__L	L-Valine
WesternDiet	AGORA Western Diet	phe__L	L-Phenylalanine
WesternDiet	AGORA Western Diet	tyr__L	L-Tyrosine
WesternDiet	AGORA Western Diet	gly	Glycine
WesternDiet	AGORA Western Diet	trp__L	L-Tryptophan
WesternDiet	AGORA Western Diet	thm	Thiamine
WesternDiet	AGORA Western Diet	ribflv	Riboflavin
WesternDiet	AGORA Western Diet	nac	Nicotinic acid
WesternDiet	AGORA Western Diet	btn	Biotin
WesternDiet	AGORA Western Diet	pnto__R	Pantothenate
WesternDiet	AGORA Western Diet	pydxn	Pyridoxine
WesternDiet	AGORA Western Diet	pydx	Pyridoxal
WesternDiet	AGORA Western Diet	pydam	Pyridoxamine
WesternDiet	AGORA Western Diet	fol	Folate
WesternDiet	AGORA Western Diet	adpcbl	Adenosylcobalamin
WesternDiet	AGORA Western Diet	pheme	Protoheme
WesternDiet	AGORA Western Diet	cbl1	Cobalamin
WesternDiet	AGORA Western Diet	chol	Choline
WesternDiet	AGORA Western Diet	h2s	Hydrogen sulfide
WesternDiet	AGORA Western Diet	so4	Sulfate
WesternDiet	AGORA Western Diet	spmd	Spermidine
WesternDiet	AGORA Western Diet	na1	Na+
WesternDiet	AGORA Western Diet	ca2	Ca2+
WesternDiet	AGORA Western Diet	cobalt2	Co2+
WesternDiet	AGORA Western Diet	cl	Cl-
WesternDiet	AGORA Western Diet	k	K+
WesternDiet	AGORA Western Diet	fe2	Fe2+
WesternDiet	AGORA Western Diet	fe3	Fe3+
WesternDiet	AGORA Western Diet	fe3dcit	Ferric dicitrate
WesternDiet	AGORA Western Diet	mg2	Mg2+
WesternDiet	AGORA Western Diet	mn2	Mn2+
WesternDiet	AGORA Western Diet	mobd	Molybdate
WesternDiet	AGORA Western Diet	cu2	Cu2+
WesternDiet	AGORA Western Diet	zn2	Zn2+
WesternDiet	AGORA Western Diet	sel	Selenite
WesternDiet	AGORA Western Diet	pime	Pimelate
WesternDiet	AGORA Western Diet	mqn8	Menaquinone 8
WesternDiet	AGORA Western Diet	12dgr180	1,2-Diacylglycerol
WesternDiet	AGORA Western Diet	26dap__M	meso-Diaminopimelate
WesternDiet	AGORA Western Diet	2obut	2-Oxobutanoate
WesternDiet	AGORA Western Diet	3mop	3-Methyl-2-oxopentanoate
WesternDiet	AGORA Western Diet	4hbz	4-Hydroxybenzoate
WesternDiet	AGORA Western Diet	ac	Acetate
WesternDiet	AGORA Western Diet	acgam	N-Acetyl-D-glucosamine
WesternDiet	AGORA Western Diet	acnam	N-Acetylneuraminate
WesternDiet	AGORA Western Diet	acmana	N-Acetyl-D-mannosamine
WesternDiet	AGORA Western Diet	ade	Adenine
WesternDiet	AGORA Western Diet	adn	Adenosine
WesternDiet	AGORA Western Diet	ala__D	D-Alanine
WesternDiet	AGORA Western Diet	arab__D	D-Arabinose
WesternDiet	AGORA Western Diet	cgly	Cys-Gly
WesternDiet	AGORA Western Diet	chor	Chorismate
WesternDiet	AGORA Western Diet	cit	Citrate
WesternDiet	AGORA Western Diet	amet	S-Adenosyl-L-methionine
WesternDiet	AGORA Western Diet	csn	Cytosine
WesternDiet	AGORA Western Diet	cytd	Cytidine
WesternDiet	AGORA Western Diet	dad__2	Deoxyadenosine
WesternDiet	AGORA Western Diet	dcyt	Deoxycytidine
WesternDiet	AGORA Western Diet	ddca	Dodecanoic acid
WesternDiet	AGORA Western Diet	dgsn	Deoxyguanosine
WesternDiet	AGORA Western Diet	for	Formate
WesternDiet	AGORA Western Diet	fum	Fumarate
WesternDiet	AGORA Western Diet	glyc3p	Glycerol 3-phosphate
WesternDiet	AGORA Western Diet	gsn	Guanosine
WesternDiet	AGORA Western Diet	gthox	Oxidized glutathione
WesternDiet	AGORA Western Diet	gua	Guanine
WesternDiet	AGORA Western Diet	h	H+
WesternDiet	AGORA Western Diet	hxan	Hypoxanthine
WesternDiet	AGORA Western Diet	indole	Indole
WesternDiet	AGORA Western Diet	lanost	Lanosterol
WesternDiet	AGORA Western Diet	metsox__S__L	L-Methionine S-oxide
WesternDiet	AGORA Western Diet	mqn7	Menaquinone 7
WesternDiet	AGORA Western Diet	ncam	Nicotinamide
WesternDiet	AGORA Western Diet	nmn	NMN
WesternDiet	AGORA Western Diet	orn	Ornithine
WesternDiet	AGORA Western Diet	pi	Phosphate
WesternDiet	AGORA Western Diet	ptrc	Putrescine
WesternDiet	AGORA Western Diet	pydx5p	Pyridoxal 5-phosphate
WesternDiet	AGORA Western Diet	q8	Ubiquinone-8
WesternDiet	AGORA Western Diet	sheme	Siroheme
WesternDiet	AGORA Western Diet	thymd	Thymidine
WesternDiet	AGORA Western Diet	ura	Uracil
WesternDiet	AGORA Western Diet	uri	Uridine
WesternDiet	AGORA Western Diet	xan	Xanthine
WesternDiet	AGORA Western Diet	meoh	Methanol
WesternDiet	AGORA Western Diet	h2o	H2O
WesternDiet	AGORA Western Diet	2dmmq8	2-Demethylmenaquinone 8
WesternDiet	AGORA Western Diet	4abz	4-Aminobenzoate
WesternDiet	AGORA Western Diet	amp	AMP
WesternDiet	AGORA Western Diet	fald	Formaldehyde
WesternDiet	AGORA Western Diet	gam	D-Glucosamine
WesternDiet	AGORA Western Diet	glu__D	D-Glutamate
WesternDiet	AGORA Western Diet	gthrd	Reduced glutathione
WesternDiet	AGORA Western Diet	h2	Hydrogen
WesternDiet	AGORA Western Diet	no2	Nitrite
WesternDiet_Mucin	AGORA WD+Mucin	fru	D-Fructose
WesternDiet_Mucin	AGORA WD+Mucin	glc__D	D-Glucose
WesternDiet_Mucin	AGORA WD+Mucin	gal	D-Galactose
WesternDiet_Mucin	AGORA WD+Mucin	man	D-Mannose
WesternDiet_Mucin	AGORA WD+Mucin	mnl	D-Mannitol
WesternDiet_Mucin	AGORA WD+Mucin	fuc__L	L-Fucose
WesternDiet_Mucin	AGORA WD+Mucin	glcn	D-Gluconate
WesternDiet_Mucin	AGORA WD+Mucin	rmn	L-Rhamnose
WesternDiet_Mucin	AGORA WD+Mucin	arab__L	L-Arabinose
WesternDiet_Mucin	AGORA WD+Mucin	drib	2-Deoxyribose
WesternDiet_Mucin	AGORA WD+Mucin	rib__D	D-Ribose
WesternDiet_Mucin	AGORA WD+Mucin	xyl__D	D-Xylose
WesternDiet_Mucin	AGORA WD+Mucin	oxa	Oxalate
WesternDiet_Mucin	AGORA WD+Mucin	lcts	Lactose
WesternDiet_Mucin	AGORA WD+Mucin	malt	Maltose
WesternDiet_Mucin	AGORA WD+Mucin	sucr	Sucrose
WesternDiet_Mucin	AGORA WD+Mucin	melib	Melibiose
WesternDiet_Mucin	AGORA WD+Mucin	cellb	Cellobiose
WesternDiet_Mucin	AGORA WD+Mucin	tre	Trehalose
WesternDiet_Mucin	AGORA WD+Mucin	strch1	Starch
WesternDiet_Mucin	AGORA WD+Mucin	amylopect900	Amylopectin
WesternDiet_Mucin	AGORA WD+Mucin	amylose300	Amylose
WesternDiet_Mucin	AGORA WD+Mucin	arabinan101	Arabinan
WesternDiet_Mucin	AGORA WD+Mucin	arabinogal	Arabinogalactan
WesternDiet_Mucin	AGORA WD+Mucin	arabinoxyl	Arabinoxylan
WesternDiet_Mucin	AGORA WD+Mucin	bglc	beta-Glucan
WesternDiet_Mucin	AGORA WD+Mucin	cellul	Cellulose
WesternDiet_Mucin	AGORA WD+Mucin	dextran40	Dextran
WesternDiet_Mucin	AGORA WD+Mucin	galmannan	Galactomannan
WesternDiet_Mucin	AGORA WD+Mucin	glcmannan	Glucomannan
WesternDiet_Mucin	AGORA WD+Mucin	homogal	Homogalacturonan
WesternDiet_Mucin	AGORA WD+Mucin	inulin	Inulin
WesternDiet_Mucin	AGORA WD+Mucin	kestopt	Kestose
WesternDiet_Mucin	AGORA WD+Mucin	levan1000	Levan
WesternDiet_Mucin	AGORA WD+Mucin	lmn30	Laminarin
WesternDiet_Mucin	AGORA WD+Mucin	lichn	Lichenan
WesternDiet_Mucin	AGORA WD+Mucin	pect	Pectin
WesternDiet_Mucin	AGORA WD+Mucin	pullulan1200	Pullulan
WesternDiet_Mucin	AGORA WD+Mucin	raffin	Raffinose
WesternDiet_Mucin	AGORA WD+Mucin	rhamnogalurI	Rhamnogalacturonan I
WesternDiet_Mucin	AGORA WD+Mucin	rhamnogalurII	Rhamnogalacturonan II
WesternDiet_Mucin	AGORA WD+Mucin	starch1200	Starch 1200
WesternDiet_Mucin	AGORA WD+Mucin	xylan	Xylan
WesternDiet_Mucin	AGORA WD+Mucin	xyluglc	Xyloglucan
WesternDiet_Mucin	AGORA WD+Mucin	arachd	Arachidonic acid
WesternDiet_Mucin	AGORA WD+Mucin	chsterol	Cholesterol
WesternDiet_Mucin	AGORA WD+Mucin	glyc	Glycerol
WesternDiet_Mucin	AGORA WD+Mucin	hdca	Hexadecanoic acid
WesternDiet_Mucin	AGORA WD+Mucin	hdcea	Hexadecenoic acid
WesternDiet_Mucin	AGORA WD+Mucin	lnlc	Linoleic acid
WesternDiet_Mucin	AGORA WD+Mucin	lnlnca	alpha-Linolenic acid
WesternDiet_Mucin	AGORA WD+Mucin	lnlncg	gamma-Linolenic acid
WesternDiet_Mucin	AGORA WD+Mucin	ocdca	Octadecanoic acid
WesternDiet_Mucin	AGORA WD+Mucin	ocdcea	Oleic acid
WesternDiet_Mucin	AGORA WD+Mucin	octa	Octanoic acid
WesternDiet_Mucin	AGORA WD+Mucin	ttdca	Tetradecanoic acid
WesternDiet_Mucin	AGORA WD+Mucin	ala__L	L-Alanine
WesternDiet_Mucin	AGORA WD+Mucin	ser__L	L-Serine
WesternDiet_Mucin	AGORA WD+Mucin	cys__L	L-Cysteine
WesternDiet_Mucin	AGORA WD+Mucin	arg__L	L-Arginine
WesternDiet_Mucin	AGORA WD+Mucin	ile__L	L-Isoleucine
WesternDiet_Mucin	AGORA WD+Mucin	leu__L	L-Leucine
WesternDiet_Mucin	AGORA WD+Mucin	lys__L	L-Lysine
WesternDiet_Mucin	AGORA WD+Mucin	his__L	L-Histidine
WesternDiet_Mucin	AGORA WD+Mucin	asn__L	L-Asparagine
WesternDiet_Mucin	AGORA WD+Mucin	thr__L	L-Threonine
WesternDiet_Mucin	AGORA WD+Mucin	asp__L	L-Aspartate
WesternDiet_Mucin	AGORA WD+Mucin	glu__L	L-Glutamate
WesternDiet_Mucin	AGORA WD+Mucin	met__L	L-Methionine
WesternDiet_Mucin	AGORA WD+Mucin	gln__L	L-Glutamine
WesternDiet_Mucin	AGORA WD+Mucin	pro__L	L-Proline
WesternDiet_Mucin	AGORA WD+Mucin	val__L	L-Valine
WesternDiet_Mucin	AGORA WD+Mucin	phe__L	L-Phenylalanine
WesternDiet_Mucin	AGORA WD+Mucin	tyr__L	L-Tyrosine
WesternDiet_Mucin	AGORA WD+Mucin	gly	Glycine
WesternDiet_Mucin	AGORA WD+Mucin	trp__L	L-Tryptophan
WesternDiet_Mucin	AGORA WD+Mucin	thm	Thiamine
WesternDiet_Mucin	AGORA WD+Mucin	ribflv	Riboflavin
WesternDiet_Mucin	AGORA WD+Mucin	nac	Nicotinic acid
WesternDiet_Mucin	AGORA WD+Mucin	btn	Biotin
WesternDiet_Mucin	AGORA WD+Mucin	pnto__R	Pantothenate
WesternDiet_Mucin	AGORA WD+Mucin	pydxn	Pyridoxine
WesternDiet_Mucin	AGORA WD+Mucin	pydx	Pyridoxal
WesternDiet_Mucin	AGORA WD+Mucin	pydam	Pyridoxamine
WesternDiet_Mucin	AGORA WD+Mucin	fol	Folate
WesternDiet_Mucin	AGORA WD+Mucin	adpcbl	Adenosylcobalamin
WesternDiet_Mucin	AGORA WD+Mucin	pheme	Protoheme
WesternDiet_Mucin	AGORA WD+Mucin	cbl1	Cobalamin
WesternDiet_Mucin	AGORA WD+Mucin	chol	Choline
WesternDiet_Mucin	AGORA WD+Mucin	h2s	Hydrogen sulfide
WesternDiet_Mucin	AGORA WD+Mucin	so4	Sulfate
WesternDiet_Mucin	AGORA WD+Mucin	spmd	Spermidine
